source_name,theta_min_deg,theta_max_deg,phi_min_deg,phi_max_deg,flux_cm2_s,delta_mu,delta_omega_sr,particle,bin,expected_delta_mu,delta_mu_abs_diff_from_equal_mu,expected_delta_omega_sr,delta_omega_abs_diff
Atm_n_bin17_up,134.427,143.13,0.0,360.0,0.03357821558128,0.09999897801512836,0.6283121093976289,n,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_n_bin18_up,143.13,154.158,0.0,360.0,0.03360777815944,0.1000005603322881,0.6283220513895583,n,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_n_bin19_up,154.158,180.0,0.0,360.0,0.03364800163266,0.10000051151920342,0.6283217446879019,n,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
Atm_p_bin00_down,0.0,25.842,0.0,360.0,0.004289902799552,0.1000005115192032,0.6283217446879005,p,0,0.1,5.11519203189037e-07,0.6283185307179586,3.2139699418509693e-06
Atm_p_bin01_down,25.842,36.87,0.0,360.0,0.005106991084624,0.10000056033228821,0.6283220513895591,p,1,0.1,5.603322882075101e-07,0.6283185307179586,3.5206716004765326e-06
Atm_p_bin02_down,36.87,45.573,0.0,360.0,0.005968548929939,0.09999897801512847,0.6283121093976297,p,2,0.1,1.0219848715353752e-06,0.6283185307179586,6.421320328908742e-06
Atm_p_bin03_down,45.573,53.13,0.0,360.0,0.006883777083477,0.0999985210007176,0.6283092378913981,p,3,0.1,1.4789992824060239e-06,0.6283185307179586,9.292826560480805e-06
Atm_p_bin04_down,53.13,60.0,0.0,360.0,0.007865607531759,0.10000142913266241,0.6283275102233051,p,4,0.1,1.429132662406074e-06,0.6283185307179586,8.979505346506933e-06
Atm_p_bin05_down,60.0,66.422,0.0,360.0,0.008933250060889,0.10000285497617001,0.6283364690622824,p,5,0.1,2.854976170002521e-06,0.6283185307179586,1.7938344323731314e-05
Atm_p_bin06_down,66.422,72.542,0.0,360.0,0.01011753536865,0.09999053728709167,0.628259074739247,p,6,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_p_bin07_down,72.542,78.463,0.0,360.0,0.01147407775541,0.10000590717071561,0.628355646566206,p,7,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_p_bin08_down,78.463,84.261,0.0,360.0,0.01312551320065,0.10000366104174306,0.6283415337216476,p,8,0.1,3.661041743055482e-06,0.6283185307179586,2.3003003688959467e-05
Atm_p_bin09_down,84.261,90.0,0.0,360.0,0.01550358095221,0.0999970395242797,0.6282999295004106,p,9,0.1,2.9604757203066656e-06,0.6283185307179586,1.8601217548042115e-05
Atm_p_bin10_up,90.0,95.739,0.0,360.0,0.004817367829333,0.09999703952427969,0.6282999295004105,p,10,0.1,2.9604757203205434e-06,0.6283185307179586,1.8601217548153137e-05
Atm_p_bin11_up,95.739,101.537,0.0,360.0,0.003804712064989,0.10000366104174307,0.6283415337216477,p,11,0.1,3.66104174306936e-06,0.6283185307179586,2.300300368907049e-05
Atm_p_bin12_up,101.537,107.458,0.0,360.0,0.003173584800644,0.10000590717071561,0.628355646566206,p,12,0.1,5.907170715607757e-06,0.6283185307179586,3.7115848247393224e-05
Atm_p_bin13_up,107.458,113.578,0.0,360.0,0.002679258447168,0.09999053728709167,0.628259074739247,p,13,0.1,9.462712908331339e-06,0.6283185307179586,5.94559787115978e-05
Atm_p_bin14_up,113.578,120.0,0.0,360.0,0.002259588399632,0.10000285497616979,0.628336469062281,p,14,0.1,2.8549761697804765e-06,0.6283185307179586,1.7938344322399047e-05
Atm_p_bin15_up,120.0,126.87,0.0,360.0,0.001888090562594,0.10000142913266263,0.6283275102233065,p,15,0.1,1.4291326626281187e-06,0.6283185307179586,8.9795053478392e-06
Atm_p_bin16_up,126.87,134.427,0.0,360.0,0.001550717854223,0.09999852100071771,0.6283092378913988,p,16,0.1,1.4789992822950015e-06,0.6283185307179586,9.292826559814671e-06
Atm_p_bin17_up,134.427,143.13,0.0,360.0,0.001239013785822,0.09999897801512836,0.6283121093976289,p,17,0.1,1.0219848716463975e-06,0.6283185307179586,6.421320329685898e-06
Atm_p_bin18_up,143.13,154.158,0.0,360.0,0.0009474431607313,0.1000005603322881,0.6283220513895583,p,18,0.1,5.603322880964878e-07,0.6283185307179586,3.5206715996993765e-06
Atm_p_bin19_up,154.158,180.0,0.0,360.0,0.0006721599590378,0.10000051151920342,0.6283217446879019,p,19,0.1,5.115192034110816e-07,0.6283185307179586,3.2139699432942592e-06
